group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
timelock,square t times,10000,,,93257600.0,ns,1
timelock,square t times,10000,,,84917100.0,ns,1
timelock,square t times,10000,,,83940800.0,ns,1
timelock,square t times,10000,,,81126100.0,ns,1
timelock,square t times,10000,,,81361400.0,ns,1
timelock,square t times,10000,,,81342600.0,ns,1
timelock,square t times,10000,,,81739600.0,ns,1
timelock,square t times,10000,,,83514200.0,ns,1
timelock,square t times,10000,,,83334100.0,ns,1
timelock,square t times,10000,,,81097100.0,ns,1
timelock,square t times,10000,,,80879500.0,ns,1
timelock,square t times,10000,,,81099900.0,ns,1
timelock,square t times,10000,,,81561300.0,ns,1
timelock,square t times,10000,,,81132600.0,ns,1
timelock,square t times,10000,,,81646000.0,ns,1
timelock,square t times,10000,,,82707700.0,ns,1
timelock,square t times,10000,,,81235800.0,ns,1
timelock,square t times,10000,,,81041800.0,ns,1
timelock,square t times,10000,,,81234900.0,ns,1
timelock,square t times,10000,,,82743600.0,ns,1
timelock,square t times,10000,,,81946800.0,ns,1
timelock,square t times,10000,,,83816100.0,ns,1
timelock,square t times,10000,,,80755600.0,ns,1
timelock,square t times,10000,,,81376900.0,ns,1
timelock,square t times,10000,,,83313100.0,ns,1
timelock,square t times,10000,,,83117200.0,ns,1
timelock,square t times,10000,,,82913000.0,ns,1
timelock,square t times,10000,,,82051800.0,ns,1
timelock,square t times,10000,,,81079200.0,ns,1
timelock,square t times,10000,,,81388200.0,ns,1
timelock,square t times,10000,,,81199700.0,ns,1
timelock,square t times,10000,,,82364700.0,ns,1
timelock,square t times,10000,,,81718500.0,ns,1
timelock,square t times,10000,,,80845700.0,ns,1
timelock,square t times,10000,,,81524200.0,ns,1
timelock,square t times,10000,,,80875600.0,ns,1
timelock,square t times,10000,,,81213400.0,ns,1
timelock,square t times,10000,,,83005800.0,ns,1
timelock,square t times,10000,,,83280900.0,ns,1
timelock,square t times,10000,,,80463900.0,ns,1
timelock,square t times,10000,,,81464700.0,ns,1
timelock,square t times,10000,,,81882500.0,ns,1
timelock,square t times,10000,,,81207400.0,ns,1
timelock,square t times,10000,,,80805500.0,ns,1
timelock,square t times,10000,,,81321900.0,ns,1
timelock,square t times,10000,,,81443700.0,ns,1
timelock,square t times,10000,,,80701300.0,ns,1
timelock,square t times,10000,,,81025700.0,ns,1
timelock,square t times,10000,,,80911900.0,ns,1
timelock,square t times,10000,,,81068500.0,ns,1
timelock,square t times,10000,,,81358500.0,ns,1
timelock,square t times,10000,,,81628600.0,ns,1
timelock,square t times,10000,,,81315800.0,ns,1
timelock,square t times,10000,,,83329900.0,ns,1
timelock,square t times,10000,,,83038200.0,ns,1
timelock,square t times,10000,,,81652100.0,ns,1
timelock,square t times,10000,,,80961100.0,ns,1
timelock,square t times,10000,,,80930300.0,ns,1
timelock,square t times,10000,,,81351400.0,ns,1
timelock,square t times,10000,,,82688800.0,ns,1
timelock,square t times,10000,,,81201900.0,ns,1
timelock,square t times,10000,,,81293700.0,ns,1
timelock,square t times,10000,,,81349000.0,ns,1
timelock,square t times,10000,,,80978200.0,ns,1
timelock,square t times,10000,,,80834000.0,ns,1
timelock,square t times,10000,,,81054400.0,ns,1
timelock,square t times,10000,,,82335100.0,ns,1
timelock,square t times,10000,,,82150200.0,ns,1
timelock,square t times,10000,,,84094400.0,ns,1
timelock,square t times,10000,,,81011800.0,ns,1
timelock,square t times,10000,,,81105600.0,ns,1
timelock,square t times,10000,,,81811000.0,ns,1
timelock,square t times,10000,,,83044100.0,ns,1
timelock,square t times,10000,,,83199300.0,ns,1
timelock,square t times,10000,,,80880800.0,ns,1
timelock,square t times,10000,,,81231000.0,ns,1
timelock,square t times,10000,,,81241700.0,ns,1
timelock,square t times,10000,,,81196300.0,ns,1
timelock,square t times,10000,,,83229100.0,ns,1
timelock,square t times,10000,,,84076200.0,ns,1
timelock,square t times,10000,,,85882100.0,ns,1
timelock,square t times,10000,,,83507300.0,ns,1
timelock,square t times,10000,,,82316900.0,ns,1
timelock,square t times,10000,,,83562000.0,ns,1
timelock,square t times,10000,,,83440100.0,ns,1
timelock,square t times,10000,,,83294200.0,ns,1
timelock,square t times,10000,,,80753600.0,ns,1
timelock,square t times,10000,,,81721600.0,ns,1
timelock,square t times,10000,,,81172400.0,ns,1
timelock,square t times,10000,,,81432300.0,ns,1
timelock,square t times,10000,,,83611800.0,ns,1
timelock,square t times,10000,,,83144900.0,ns,1
timelock,square t times,10000,,,83306400.0,ns,1
timelock,square t times,10000,,,83099200.0,ns,1
timelock,square t times,10000,,,82910000.0,ns,1
timelock,square t times,10000,,,80708800.0,ns,1
timelock,square t times,10000,,,81326800.0,ns,1
timelock,square t times,10000,,,81251600.0,ns,1
timelock,square t times,10000,,,81542900.0,ns,1
timelock,square t times,10000,,,83204100.0,ns,1
